kor_name,eng_name,country,beer_category_1,beer_category_2,abv,ibu,thumbnail
첫즙 라거,1ST WORT LAGER,SOUTH KOREA,LAGER,,5.3 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/1.jpeg
애플 폭스,APPLE FOX,MALAYSIA,ETC,FRUIT,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/2.jpeg
아크 라거,ARK LAGER,SOUTH KOREA,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/3.jpeg
아사히 슈퍼 드라이,ASAHI SUPER DRY,JAPAN,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/4.jpeg
바바리아 레몬,BAVARIA LEMON,NETHERLANDS,NON_ALCOHOLIC,FRUIT,8.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/5.jpeg
베어 비어 라거,BEAR BEER LAGER,GERMANY,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/6.jpeg
벡스,BECK’S,GERMANY,LAGER,,4.8 ,27,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/7.jpeg
빅 웨이브,BIG WAVE,UNITED STATES,ALE,,4.4 ,21,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/8.jpeg
블루걸,BLUE GIRL,HONG KONG,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/9.jpeg
블루문,BLUE MOON,UNITED STATES,WEIZEN,,5.4 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/10.jpeg
부데요비츠키 부드바르,BUDEJOVICKY BUDVAR,CZECH REPUBLIC,LAGER,,5.2 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/11.jpeg
버드와이저,BUDWEISER,UNITED STATES,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/12.jpeg
카카오 S 스타우트 맥주,CACAO S STOUT BEER,SOUTH KOREA,DUNKEL,,4.8 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/13.jpeg
카프리,CAFRI,SOUTH KOREA,LAGER,,4.2 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/14.jpeg
칼스버그,CARLSBERG,DENMARK,PILSNER,,4.6 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/15.jpeg
카스 제로,CASS ZERO,SOUTH KOREA,NON_ALCOHOLIC,,4.8 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/16.jpeg
창 클래식,CHANG CLASSIC,THAILAND,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/17.jpeg
창 에스프레소,CHANG ESPRESSO LAGER,THAILAND,LAGER,,4.8 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/18.jpeg
시메이 골드,CHIMAY GOLD,BELGIUM,ALE,,4.8 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/19.jpeg
시메이 그랑리저브,CHIMAY GRANDE RESERVE,BELGIUM,ALE,,9.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/20.jpeg
시메이 레드,CHIMAY PERES TRAPPISTES,BELGIUM,ALE,,7.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/21.jpeg
시메이 화이트,CHIMAY PERES TRAPPISTES TRIPLE,BELGIUM,ALE,,8.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/22.jpeg
쿠어스,COORS,UNITED STATES,LAGER,,4.2 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/23.jpeg
코로나 엑스트라,CORONA EXTRA,MEXICO,LAGER,,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/24.jpeg
콜센동크 파터,CORSENDONK PATER,BELGIUM,ALE,,6.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/25.jpeg
